"hubGene","genes","cor"
"Ceric.33G031700.1","Ceric.33G031700.1",1
"Ceric.33G031700.1","Ceric.01G018500.1",0.925
"Ceric.33G031700.1","Ceric.33G049200.1",0.925
"Ceric.33G031700.1","Ceric.31G036600.1",0.921
"Ceric.33G031700.1","Ceric.03G084000.1",0.904
"Ceric.33G031700.1","Ceric.28G016000.1",0.902
"Ceric.33G031700.1","Ceric.19G020700.1",0.899
"Ceric.33G031700.1","Ceric.15G046200.1",0.898
"Ceric.33G031700.1","Ceric.27G032000.1",0.898
"Ceric.33G031700.1","Ceric.18G081400.1",0.897
"Ceric.02G081900.1","Ceric.02G081900.1",1
"Ceric.02G081900.1","Ceric.15G063700.1",0.811
"Ceric.02G081900.1","Ceric.11G096200.1",0.808
"Ceric.02G081900.1","Ceric.03G054100.1",0.806
"Ceric.02G081900.1","Ceric.31G009100.1",0.803
"Ceric.02G081900.1","Ceric.02G083800.1",0.796
"Ceric.02G081900.1","Ceric.25G012600.1",0.793
"Ceric.02G081900.1","Ceric.35G051600.1",0.788
"Ceric.02G081900.1","Ceric.36G031500.1",0.787
"Ceric.02G081900.1","Ceric.36G031400.1",0.786
"Ceric.02G081900.1","Ceric.39G031000.1",0.784
"Ceric.02G081900.1","Ceric.38G059500.1",0.779
"Ceric.02G081900.1","Ceric.39G017900.1",0.778
"Ceric.02G081900.1","Ceric.19G023200.1",0.777
"Ceric.02G081900.1","Ceric.27G044800.1",0.777
"Ceric.02G081900.1","Ceric.05G005800.1",0.774
"Ceric.02G081900.1","Ceric.25G012700.1",0.771
"Ceric.02G081900.1","Ceric.30G003700.1",0.771
"Ceric.02G081900.1","Ceric.05G010700.1",0.769
"Ceric.02G081900.1","Ceric.13G038300.1",0.768
